24792	08/11	20:33	8.565	55	LH2	-1.531	14.37	-1,-1,-1,0,-1,-1
24800	08/12	00:17	8.565	40	Dummy	-1.531	14.37	-1,-1,-1,0,-1,-1
24847	08/13	07:37	8.565	20	Carbon	+1.531	12.00	-1,-1,-1,0,-1,-1
24848	08/13	07:59	8.565	40	Carbon	+1.531	12.00	-1,-1,-1,1,-1,-1
24849	08/13	08:42	8.565	40	Carbon	+1.531	12.00	-1,-1,-1,1,-1,-1
24884	08/14	17:52	10.67	40	LD2	-3.642	7.51	-1,-1,-1,3,-1,-1
24891	08/15	00:38	10.67	55	LH2	-3.642	7.51	-1,-1,-1,3,-1,-1
24895	08/15	02:39	10.67	40	Dummy	-3.642	7.51	-1,-1,-1,2,-1,-1
24900	08/15	05:53	10.67	50	Carbon	-3.642	7.51	-1,-1,-1,4,-1,-1
24905	08/15	12:01	10.67	50	Copper	-3.642	7.51	-1,-1,-1,3,-1,-1
24906	08/15	12:18	10.67	50	Copper	-3.642	7.51	-1,-1,-1,3,-1,-1
24911	08/15	16:00	10.67	9.5	LD2	-3.642	7.51	-1,-1,-1,1,-1,-1
24922	08/15	22:47	10.67	38	LH2	-3.642	7.51	-1,-1,-1,2,-1,-1
24925	08/16	00:23	10.67	40	Dummy	-3.642	7.51	-1,-1,-1,0,-1,-1
24931	08/16	13:12	10.67	35	Carbon	-3.642	7.51	-1,-1,-1,3,-1,-1
24936	08/16	15:57	10.67	40	Copper	-3.642	7.51	-1,-1,-1,3,-1,-1
24967	08/17	09:02	10.67	8	LD2	-3.642	7.51	-1,-1,-1,1,-1,-1
24978	08/17	14:37	10.67	18	LH2	-3.642	7.51	-1,-1,-1,1,-1,-1
24983	08/17	16:36	10.67	20	Dummy	-3.642	7.51	-1,-1,-1,0,-1,-1
24989	08/17	19:36	10.67	15	Carbon	-3.642	7.51	-1,-1,-1,1,-1,-1
24996	08/17	23:02	10.67	17	Copper	-3.642	7.51	-1,-1,-1,1,-1,-1
