eprime,theta,xbj,q2,w,modelxsec,epsilon
3.88,29.045,0.949,8.376,1.153,0.00090396,0.6717757576395436
3.9,29.045,0.958,8.419,1.118,0.0008045,0.673950011811039
3.92,29.045,0.967,8.463,1.081,0.00071605,0.6761289014887705
3.94,29.045,0.976,8.506,1.043,0.00063834,0.6782749662917353
3.96,29.045,0.985,8.549,1.003,0.00057107,0.6804070893461652
3.98,29.045,0.995,8.592,0.962,0.00051314,0.6825252955091955
4.0,29.045,1.004,8.635,0.919,0.00046125,0.6846296101598973
4.02,29.045,1.014,8.679,0.874,0.00041178,0.6867375557814723
4.04,29.045,1.023,8.722,0.827,0.00036707,0.6888139459713221
4.06,29.045,1.033,8.765,0.777,0.00032871,0.6908765257794496
4.08,29.045,1.042,8.808,0.723,0.00029564,0.6929253225936179
4.1,29.045,1.052,8.851,0.665,0.00026692,0.6949603642880444
4.12,29.045,1.062,8.894,0.601,0.00024169,0.6969816792163773
4.14,29.045,1.072,8.938,0.53,0.00022013,0.6990055009949395
4.16,29.045,1.082,8.981,0.447,0.00020265,0.7009992412259476
4.18,29.045,1.092,9.024,0.345,0.00018951,0.7029793444412433
4.2,29.045,1.102,9.067,0.196,0.00018288,0.7049458408338803
4.22,29.045,1.113,9.11,nan,0.00017476,0.7068987610414886
4.24,29.045,1.123,9.153,nan,0.00017422,0.708838136139392
4.26,29.045,1.134,9.197,nan,0.00015746,0.7107789792144553
4.28,29.045,1.144,9.24,nan,0.00014147,0.7126911621338647
4.3,29.045,1.155,9.283,nan,0.00012637,0.7145898975575359
4.32,29.045,1.166,9.326,nan,0.00011221,0.716475218234386
4.34,29.045,1.177,9.369,nan,9.9008e-05,0.7183471573169616
4.36,29.045,1.188,9.413,nan,8.6853e-05,0.7202197612087395
4.38,29.045,1.199,9.456,nan,7.5825e-05,0.7220648503392557
4.4,29.045,1.21,9.499,nan,6.6219e-05,0.7238966614728477
4.42,29.045,1.221,9.542,nan,5.7819e-05,0.7257152293006297
4.44,29.045,1.233,9.585,nan,5.0461e-05,0.727520588884051
4.46,29.045,1.244,9.628,nan,4.401e-05,0.7293127756483451
4.48,29.045,1.256,9.672,nan,3.8356e-05,0.7311047357934477
4.5,29.045,1.268,9.715,nan,3.3403e-05,0.7328705074220393
4.52,29.045,1.28,9.758,nan,2.9063e-05,0.7346232163539761
4.54,29.045,1.292,9.801,nan,2.5261e-05,0.7363628993954465
4.56,29.045,1.304,9.844,nan,2.1932e-05,0.7380895936841629
4.58,29.045,1.316,9.888,nan,1.902e-05,0.7398153762745684
4.6,29.045,1.329,9.931,nan,1.6475e-05,0.741516037153498
4.62,29.045,1.341,9.974,nan,1.4301e-05,0.7432038243002332
4.64,29.045,1.354,nan,nan,1.2518e-05,nan
4.66,29.045,1.367,nan,nan,1.1016e-05,nan
4.68,29.045,1.379,nan,nan,9.6874e-06,nan
4.7,29.045,1.392,nan,nan,8.5111e-06,nan
4.72,29.045,1.406,nan,nan,7.4712e-06,nan
4.74,29.045,1.419,nan,nan,6.5518e-06,nan
4.76,29.045,1.432,nan,nan,5.7399e-06,nan
4.78,29.045,1.446,nan,nan,5.023e-06,nan
4.8,29.045,1.46,nan,nan,4.3905e-06,nan
4.82,29.045,1.474,nan,nan,3.8328e-06,nan
4.84,29.045,1.488,nan,nan,3.3416e-06,nan
4.86,29.045,1.502,nan,nan,2.9094e-06,nan
4.88,29.045,1.516,nan,nan,2.5293e-06,nan
4.9,29.045,1.531,nan,nan,2.1954e-06,nan
4.92,29.045,1.545,nan,nan,1.9024e-06,nan
4.94,29.045,1.56,nan,nan,1.6454e-06,nan
4.96,29.045,1.575,nan,nan,1.42e-06,nan
4.98,29.045,1.59,nan,nan,1.2225e-06,nan
