#Run#	eBeam_diff	iBeam_diff	targ	type	Q2_difference	xbj_difference	HMSp_diff	HMSth_diff	SHMSp_diff	SHMSth_diff	Livetime_diff
24148	0.000000	0.325000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000000
24183	0.000000	0.806000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000003
24184	0.000000	-0.340000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000003
24198	0.000000	0.856000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24205	0.000000	0.756000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000004
24209	0.000000	2.577000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000002
24212	0.000000	14.647000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24221	0.000000	-0.022000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000003
24231	0.000000	-0.015000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000001
24235	0.000000	-0.286000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000001
24242	0.000000	0.481000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000003
24249	0.000000	4.447000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000005
24256	0.000000	-0.648000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000004
24265	0.000000	-0.301000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000002
24284	0.000000	1.173000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24285	0.000000	-0.248000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24286	0.000000	-0.174000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24287	0.000000	0.915000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24289	0.000000	-0.052000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000005
24290	0.000000	0.046000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000002
24291	0.000000	-0.123000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24292	0.000000	0.137000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24293	0.000000	0.221000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24294	0.000000	0.529000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24295	0.000000	0.324000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24296	0.000000	0.624000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24297	0.000000	-0.221000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24298	0.000000	2.617000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000001
24299	0.000000	5.231000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24301	0.000000	-0.789000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24303	0.000000	-0.775000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24304	0.000000	-0.550000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000002
24306	0.000000	-0.320000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000003
24307	0.000000	-0.326000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000002
24308	0.000000	-0.207000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000003
24309	0.000000	-0.151000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000005
24319	0.000000	0.183000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24333	0.000000	0.540000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24340	0.000000	-0.467000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000005
24350	0.000000	-0.088000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000001
24361	0.000000	13.965000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24373	0.000000	0.580000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24375	0.000000	-0.359000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.001170
24438	0.000000	-0.115000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000002
24440	0.000000	-0.144000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24455	0.000000	-0.097000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000002
24456	0.000000	0.085000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24465	0.000000	-0.154000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24466	0.000000	-0.012000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24481	0.000000	-0.119000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000002
24483	0.000000	-0.076000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.001030
24495	0.000000	-0.063000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24498	0.000000	-0.031000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24537	0.000000	-0.956000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24541	0.000000	3.818000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24544	0.000000	2.834000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24546	0.000000	0.457000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24549	0.000000	5.098000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24551	0.000000	3.564000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24563	0.000000	-1.127000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000003
24573	0.000000	10.883000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000001
24575	0.000000	1.535000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
