runnum,gooddis,normyield	date	start_time	beam_energy	target	hms_p	hms_th	shms_p	shms_th	prescales	comments
24936,642060,17.2479	08/16	15:57	10.67	40	Copper	-3.642	16.75	+4.868	7.51	-1,-1,-1,3,-1,-1
24967,705833,97.7058	08/17	09:02	10.67	8	LD2	-3.642	16.75	+3.632	7.51	-1,-1,-1,1,-1,-1
24978,744329,53.5426	08/17	14:37	10.67	18	LH2	-3.642	16.75	+3.632	7.51	-1,-1,-1,1,-1,-1
24983,769683,92.7459	08/17	16:36	10.67	20	Dummy	-3.642	16.75	+3.632	7.51	-1,-1,-1,0,-1,-1
24989,704833,63.3731	08/17	19:36	10.67	15	Carbon	-3.642	16.75	+3.632	7.51	-1,-1,-1,1,-1,-1
24996,683484,47.8376	08/17	23:02	10.67	17	Copper	-3.642	16.75	+3.632	7.51	-1,-1,-1,1,-1,-1
25013,738761,101.515	08/18	21:33	10.67	13	LD2	-3.642	16.75	-6.538	7.51	-1,-1,-1,1,-1,0
25021,720067,18.6251	08/19	01:28	10.67	47	LH2	-3.642	16.75	-6.538	7.51	-1,-1,-1,3,-1,-1
25023,678918,61.0753	08/19	02:16	10.67	13	LD2	-3.642	16.75	-6.538	7.51	-1,-1,-1,2,-1,-1
25028,725306,23.5946	08/19	07:11	10.67	40	Dummy	-3.642	16.75	-6.538	7.51	-1,-1,-1,2,-1,-1
25036,658488,22.829	08/19	18:17	10.67	42	Carbon	-3.642	16.75	-6.538	7.51	-1,-1,-1,3,-1,-1
25042,577111,17.1675	08/19	21:41	10.67	45	Copper	-3.642	16.75	-6.538	7.51	-1,-1,-1,3,-1,-1
25047,707696,98.2654	08/20	00:10	10.67	9	LD2	-3.642	16.75	-4.868	7.51	-1,-1,-1,1,-1,-1
25054,741054,32.9789	08/20	03:57	10.67	37	LH2	-3.642	16.75	-4.868	7.51	-1,-1,-1,2,-1,-1
25057,702031,23.6896	08/20	05:32	10.67	40	Dummy	-3.642	16.75	-4.868	7.51	-1,-1,-1,2,-1,-1
25081,643259,98.8773	08/21	04:43	10.67	8	LD2	-3.642	16.75	-3.632	7.51	-1,-1,-1,1,-1,-1
25089,617759,53.1393	08/21	15:14	10.67	18	LH2	-3.642	16.75	-3.632	7.51	-1,-1,-1,1,-1,-1
25094,726687,92.5619	08/21	17:21	10.67	20	Dummy	-3.642	16.75	-3.632	7.51	-1,-1,-1,0,-1,-1
25101,672479,62.7971	08/21	20:27	10.67	18	Carbon	-3.642	16.75	-3.632	7.51	-1,-1,-1,1,-1,-1
25106,619888,47.9947	08/21	23:29	10.67	21	Copper	-3.642	16.75	-3.632	7.51	-1,-1,-1,1,-1,-1
25125,786097,60.5898	08/22	10:25	10.67	20	LD2	-3.642	16.75	-6.538	10.305	-1,-1,-1,2,-1,-1
25132,910050,52.6349	08/22	13:04	10.67	24	LH2	-3.642	16.75	-6.538	10.305	-1,-1,-1,1,-1,-1
25133,328268,21.689	08/22	13:31	10.67	24	LH2	-3.642	16.75	-6.538	10.305	-1,-1,3,-1,-1,-1
25136,580373,37.6671	08/22	14:54	10.67	40	Dummy	-3.642	16.75	-6.538	10.305	-1,-1,-1,1,-1,-1
25137,93727,15.8602	08/22	15:10	10.67	40	Dummy	-3.642	16.75	-6.538	10.305	-1,-1,3,-1,-1,-1
25142,741960,35.0059	08/22	18:00	10.67	25	LD2	-3.642	16.75	-4.868	10.305	-1,-1,-1,3,-1,-1
25145,254077,34.944	08/22	18:43	10.67	25	LD2	-3.642	16.75	-4.868	10.305	-1,-1,-1,3,-1,-1
25152,356612,18.7014	08/22	22:22	10.67	25	LH2	-3.642	16.75	-4.868	10.305	-1,-1,-1,3,-1,-1
25155,452442,13.5352	08/22	23:35	10.67	40	Dummy	-3.642	16.75	-4.868	10.305	-1,-1,-1,3,-1,-1
25178,550342,34.6917	08/23	14:00	10.67	20	LD2	-3.642	16.75	-3.632	10.305	-1,-1,-1,3,-1,-1
25186,856470,52.7268	08/23	18:10	10.67	25	LH2	-3.642	16.75	-3.632	10.305	-1,-1,-1,1,-1,-1
25212,602838,53.403	08/24	08:23	10.67	16	LH2	-3.642	16.75	-2.615	10.305	-1,-1,-1,1,-1,-1
25215,704528,23.5842	08/24	09:38	10.67	40	Dummy	-3.642	16.75	-2.615	10.305	-1,-1,-1,2,-1,-1
25232,620689,35.1874	08/24	19:25	10.67	25	LD2	-3.642	16.75	+6.538	10.305	-1,-1,-1,4,-1,-1
25238,919238,53.4162	08/24	22:21	10.67	25	LH2	-3.642	16.75	+6.538	10.305	-1,-1,-1,1,-1,-1
25243,821112,23.8116	08/25	00:05	10.67	40	Dummy	-3.642	16.75	+6.538	10.305	-1,-1,-1,0,-1,-1
25250,824905,39.6983	08/25	03:41	10.67	25	Carbon	-3.642	16.75	+6.538	10.305	-1,-1,-1,2,-1,-1
25253,722463,17.1384	08/25	05:44	10.67	50	Copper	-3.642	16.75	+6.538	10.305	-1,-1,-1,3,-1,-1
25260,744168,35.0234	08/25	11:45	10.67	25	LD2	-3.642	16.75	+4.868	10.305	-1,-1,-1,3,-1,-1
25267,780160,33.025	08/25	15:49	10.67	28	LH2	-3.642	16.75	+4.868	10.305	-1,-1,-1,2,-1,-1
25270,797195,23.7987	08/25	17:04	10.67	40	Dummy	-3.642	16.75	+4.868	10.305	-1,-1,-1,2,-1,-1
25274,550406,12.2166	08/25	18:54	10.67	55	Carbon	-3.642	16.75	+4.868	10.305	-1,-1,-1,4,-1,-1
