runnum,run_type,target,phase,xbj,q2,ebeam,ibeam_1,ibeam_2,ibeam_4a,ibeam_4c,qbeam_1,qbeam_2,qbeam_4a,qbeam_4c,hms_p,hms_th,hms_th_rad,ps3,ps4,trackeff,nu,boil_corr,epsilon,weight,3of4_rate,3of4_counts,elclean_rate,elclean_counts
24289,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,10.043,10.106,9.952,9.9,10857.705,10925.517,10759.67,10703.285,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.00353,0.011528907008166632,1.0055507930847132,,30.907,0.394,425482.0
24290,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,6.945,7.015,6.898,6.862,11156.724,11268.486,11080.248,11022.758,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.00245,0.011528907008166632,1.0029714809799348,,21.463,0.273,437772.0
24291,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,3.097,3.178,3.123,3.071,1806.982,1853.971,1821.939,1791.627,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.00111,0.011528907008166632,1.0013102620524104,,9.691,0.123,71983.0
24292,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,2.908,2.989,2.941,2.883,1642.242,1688.182,1661.059,1628.308,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.001059,0.011528907008166632,1.00125925185037,,3.204,0.06,34050.0
24293,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,6.922,6.993,6.882,6.85,3095.797,3127.738,3078.241,3063.908,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.002574,0.011528907008166632,1.0027745549109823,,7.516,0.142,63367.0
24294,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,9.855,9.922,9.782,9.737,3219.009,3240.716,3194.979,3180.439,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9999,7.0521,1.003696,0.011528907008166632,1.0037963796379636,,10.67,0.202,65981.0
24295,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,19.817,19.874,19.63,19.55,10061.038,10090.149,9969.435,9928.945,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9999,7.0521,1.007849,0.011528907008166632,1.007949794979498,,21.241,0.405,205453.0
24296,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,29.469,29.534,29.21,29.1,15342.364,15376.204,15210.007,15155.155,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.013541,0.011528907008166632,1.01374374874975,,31.384,0.597,310617.0
24297,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,40.198,40.272,39.91,39.76,6609.27,6621.483,6561.957,6537.518,-1.531,29.045,0.506930881241753,-1.0,2.0,0.9998,7.0521,1.02072,0.011528907008166632,2.041848369673935,,42.521,0.811,133400.0
24298,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,37.616,37.696,37.37,37.24,20592.058,20635.625,20458.096,20388.028,-1.531,29.045,0.506930881241753,-1.0,2.0,0.9998,7.0521,1.019586,0.011528907008166632,2.039620708397365,,39.786,0.76,415827.0
24299,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,46.256,46.387,46.15,45.95,38808.52,38918.13,38720.042,38553.339,-1.531,29.045,0.506930881241753,-1.0,5.0,0.9998,7.0521,1.024389,0.011528907008166632,5.122969593918784,,48.644,0.931,781075.0
24301,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,50.684,50.841,51.02,50.94,37415.509,37531.072,37666.61,37606.021,-1.531,29.045,0.506930881241753,-1.0,3.0,0.9997,7.0521,1.0,0.011528907008166632,3.0009002700810243,,91.942,1.351,997498.0
24303,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,40.729,40.826,40.94,40.88,26964.662,27029.176,27110.069,27066.366,-1.531,29.045,0.506930881241753,-1.0,2.0,0.9998,7.0521,1.0,0.011528907008166632,2.000400080016003,,73.68,1.081,715384.0
24304,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,30.522,30.602,30.68,30.63,16663.786,16707.508,16754.578,16725.795,-1.531,29.045,0.506930881241753,-1.0,2.0,0.9997,7.0521,1.0,0.011528907008166632,2.002382300301284,,55.206,0.809,441680.0
24306,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,20.3,20.373,20.27,20.18,12354.078,12398.246,12340.869,12281.963,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.003672747715096,,36.786,0.539,327735.0
24307,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,10.307,10.38,10.28,10.24,6846.903,6895.821,6834.87,6805.301,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.0,0.011528907008166632,1.0014116569662406,,18.742,0.273,181539.0
24308,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,7.186,7.262,7.198,7.176,4219.755,4264.345,4226.679,4213.711,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0009006704773358,,13.1,0.191,112444.0
24309,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,3.124,3.206,3.182,3.135,2803.375,2877.34,2856.05,2813.082,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.0,0.011528907008166632,1.000550227583904,,5.754,0.084,75242.0
24319,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,6.874,6.949,6.878,6.85,6249.728,6317.26,6252.815,6227.102,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.002427,0.011528907008166632,1.0027278183455035,,21.243,0.27,245583.0
24333,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,9.78,9.854,9.79,9.757,6761.322,6812.441,6768.661,6745.33,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.003581,0.011528907008166632,1.003882164649395,,10.568,0.2,138318.0
24340,HMSDIS,Dummy,I,0.24975789710096158,3.3051904135289774,8.5831,20.444,20.52,20.49,20.42,18325.347,18393.136,18366.878,18304.86,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0012313082555049,,20.358,0.299,267720.0
24350,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,13.122,13.2,13.12,13.05,10517.575,10580.464,10515.809,10465.249,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0008505928933824,,23.834,0.349,279658.0
24361,HMSDIS,Cu,I,0.24975789710096158,3.3051904135289774,8.5831,14.047,14.121,14.01,13.95,10886.08,10943.574,10861.119,10816.336,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.0,0.011528907008166632,1.000300090027008,,23.072,0.329,255284.0
24373,HMSDIS,Al,I,0.24975789710096158,3.3051904135289774,8.5831,24.695,24.784,24.68,24.59,42368.725,42521.46,42343.569,42192.627,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0002000400080016,,11.506,0.2,342434.0
24375,HMSDIS,Al,I,0.24975789710096158,3.3051904135289774,8.5831,25.322,25.412,25.3,25.23,21489.812,21566.051,21476.925,21413.625,-1.531,29.045,0.506930881241753,5.0,-1.0,0.9997,7.0521,1.0,0.011528907008166632,5.007359060235516,,11.795,0.205,173971.0
24438,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,7.965,8.17,8.163,8.142,7447.376,7638.364,7632.613,7612.881,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.002854,0.011528907008166632,1.0047223132926817,,25.053,0.316,295827.0
24440,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,8.026,8.214,8.215,8.192,6755.268,6913.605,6914.671,6894.946,-1.531,29.045,0.506930881241753,9.0,-1.0,0.9997,7.0521,1.002869,0.011528907008166632,9.02852955886766,,25.186,0.318,267779.0
24455,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,8.015,8.151,8.083,8.04,6824.892,6940.442,6882.887,6846.053,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.002477,0.011528907008166632,1.0032092133117292,,8.771,0.166,141354.0
